BR;case;def;now;next;counter;led
1;10;00;01;000;011;00000000000010000
1;10;00;10;000;011;00000000000000100
1;10;00;11;000;011;00000000000000001
0;10;01;01;001;011;00001000000010000
0;10;01;01;010;011;00100000000010100
0;10;01;01;011;011;10000000000010001
0;10;01;01;100;101;00010000000001000
0;10;01;01;100;011;00000000000010000
0;10;01;01;101;101;01000000000000010
0;10;01;01;101;011;00000000000010000
0;10;01;10;001;011;00001000000010100
0;10;01;10;010;011;00100000000000100
0;10;01;10;011;011;10000000000000101
0;10;01;10;100;101;00010000000001000
0;10;01;10;100;011;00000000000000100
0;10;01;10;101;101;01000000000000010
0;10;01;10;101;011;00000000000000100
0;10;01;11;001;011;00001000000010001
0;10;01;11;010;011;00100000000000101
0;10;01;11;011;011;10000000000000001
0;10;01;11;100;101;00010000000001000
0;10;01;11;100;011;00000000000000001
0;10;01;11;101;101;01000000000000010
0;10;01;11;101;011;00000000000000001
0;10;10;01;001;011;00001000000010000
0;10;10;01;010;011;00100000000010100
0;10;10;01;011;011;10000000000010001
0;10;10;01;100;101;00010000000001000
0;10;10;01;100;011;00000000000010000
0;10;10;01;101;101;01000000000000010
0;10;10;01;101;011;00000000000010000
0;10;10;10;001;011;00001000000010100
0;10;10;10;010;011;00100000000000100
0;10;10;10;011;011;10000000000000101
0;10;10;10;100;101;00010000000001000
0;10;10;10;100;011;00000000000000100
0;10;10;10;101;101;01000000000000010
0;10;10;10;101;011;00000000000000100
0;10;10;11;001;011;00001000000010001
0;10;10;11;010;011;00100000000000101
0;10;10;11;011;011;10000000000000001
0;10;10;11;100;101;00010000000001000
0;10;10;11;100;011;00000000000000001
0;10;10;11;101;101;01000000000000010
0;10;10;11;101;011;00000000000000001
0;10;11;01;001;011;00001000000010000
0;10;11;01;010;011;00100000000010100
0;10;11;01;011;011;10000000000010001
0;10;11;01;100;101;00010000000001000
0;10;11;01;100;011;00000000000010000
0;10;11;01;101;101;01000000000000010
0;10;11;01;101;011;00000000000010000
0;10;11;10;001;011;00001000000010100
0;10;11;10;010;011;00100000000000100
0;10;11;10;011;011;10000000000000101
0;10;11;10;100;101;00010000000001000
0;10;11;10;100;011;00000000000000100
0;10;11;10;101;101;01000000000000010
0;10;11;10;101;011;00000000000000100
0;10;11;11;001;011;00001000000010001
0;10;11;11;010;011;00100000000000101
0;10;11;11;011;011;10000000000000001
0;10;11;11;100;101;00010000000001000
0;10;11;11;100;011;00000000000000001
0;10;11;11;101;101;01000000000000010
0;10;11;11;101;011;00000000000000001
1;01;00;01;000;110;00000000000000100
0;01;01;01;001;111;00010000100001000
0;01;01;01;001;110;00000000000000100
0;01;01;01;010;111;00100001000000000
0;01;01;01;010;110;00000000000000100
0;01;01;01;011;111;01000010000000010
0;01;01;01;011;110;00000000000000100
0;01;10;01;001;111;00010000100001000
0;01;10;01;001;110;00000000000000100
0;01;10;01;010;111;00100001000000000
0;01;10;01;010;110;00000000000000100
0;01;10;01;011;111;01000010000000010
0;01;10;01;011;110;00000000000000100
0;01;11;01;001;111;00010000100001000
0;01;11;01;001;110;00000000000000100
0;01;11;01;010;111;00100001000000000
0;01;11;01;010;110;00000000000000100
0;01;11;01;011;111;01000010000000010
0;01;11;01;011;110;00000000000000100
1;01;00;01;000;000;00000000000000100
0;11;01;01;001;011;00001000000010000
0;11;01;01;001;000;00000000000000100
0;11;01;01;010;011;00100000000000100
0;11;01;01;010;000;00000000000000100
0;11;01;01;011;011;10000000000000001
0;11;01;01;011;000;00000000000000100
0;11;10;01;001;011;00001000000010000
0;11;10;01;001;000;00000000000000100
0;11;10;01;010;011;00100000000000100
0;11;10;01;010;000;00000000000000100
0;11;10;01;011;011;10000000000000001
0;11;10;01;011;000;00000000000000100
0;11;11;01;001;011;00001000000010000
0;11;11;01;001;000;00000000000000100
0;11;11;01;010;011;00100000000000100
0;11;11;01;010;000;00000000000000100
0;11;11;01;011;011;10000000000000001
0;11;11;01;011;000;00000000000000100
0;10;00;01;000;100;00000100000000000
0;10;00;10;000;100;00000001000000000
0;10;00;11;000;100;00000000010000000
1;10;01;01;001;100;10000100000000000
1;10;01;01;010;100;00100101000000000
1;10;01;01;011;100;00001100010000000
1;10;01;01;100;010;01000010000000000
1;10;01;01;100;100;00000100000000000
1;10;01;01;101;010;00010000100000000
1;10;01;01;101;100;00000100000000000
1;10;01;10;001;100;10000101000000000
1;10;01;10;010;100;00100001000000000
1;10;01;10;011;100;00001001010000000
1;10;01;10;100;100;00000001000000000
1;10;01;10;101;100;00000001000000000
1;10;01;11;001;100;10000100010000000
1;10;01;11;010;100;00100001010000000
1;10;01;11;011;100;00001000010000000
1;10;01;11;100;010;01000010000000000
1;10;01;11;100;100;00000000010000000
1;10;01;11;101;010;00010000100000000
1;10;01;11;101;100;00000000010000000
1;10;10;01;001;100;10000100000000000
1;10;10;01;010;100;00100101000000000
1;10;10;01;011;100;00001100010000000
1;10;10;01;100;010;01000010000000000
1;10;10;01;100;100;00000100000000000
1;10;10;01;101;010;00010000100000000
1;10;10;01;101;100;00000100000000000
1;10;10;10;001;100;10000101000000000
1;10;10;10;010;100;00100001000000000
1;10;10;10;011;100;00001001010000000
1;10;10;10;100;010;01000010000000000
1;10;10;10;100;100;00000001000000000
1;10;10;10;101;010;00010000100000000
1;10;10;10;101;100;00000001000000000
1;10;10;11;001;100;10000100010000000
1;10;10;11;010;100;00100001010000000
1;10;10;11;011;100;00001000010000000
1;10;10;11;100;010;01000010000000000
1;10;10;11;100;100;00000000010000000
1;10;10;11;101;010;00010000100000000
1;10;10;11;101;100;00000000010000000
1;10;11;01;001;100;10000100000000000
1;10;11;01;010;100;00100101000000000
1;10;11;01;011;100;00001100010000000
1;10;11;01;100;010;01000010000000000
1;10;11;01;100;100;00000100000000000
1;10;11;01;101;010;00010000100000000
1;10;11;01;101;100;00000100000000000
1;10;11;10;001;100;10000101000000000
1;10;11;10;010;100;00100001000000000
1;10;11;10;011;100;00001001010000000
1;10;11;10;100;010;01000010000000000
1;10;11;10;100;100;00000001000000000
1;10;11;10;101;010;00010000100000000
1;10;11;10;101;100;00000001000000000
1;10;11;11;001;100;10000100010000000
1;10;11;11;010;100;00100001010000000
1;10;11;11;011;100;00001000010000000
