Present,Next_INPUT=X,"Next_INPUT=""?""","Next_INPUT=""?""","Next_INPUT=""??(?)""","Next_INPUT=""?""","Next_INPUT=""?""",,,,,,,,
,,,,,,,,,,,,,,
S_R1-D(1),S_R1-D(1),x,S_B1-A(1;1;1),S_B1-A(2;1;1),S_B1-A(3;1;1),x,,,,,,,,
S_R1-A(1;1;1),S_R1-A(1;1;1),x,x,S_RGoal,S_R1-A(1;1;2),x,,,,,,,,
S_R1-A(1;1;2),S_R1-A(1;1;2),x,S_R1-A(1;1;1),S_RGoal,S_R1-A(1;1;3),x,,,,,,,,
S_R1-A(1;1;3),S_R1-A(1;1;3),x,S_R1-A(1;1;2),S_R3-D(1),x,x,,,,,,,,
S_R1-A(2;1;1),S_R1-A(2;1;1),x,x,S_RGoal,S_R1-A(2;1;2),x,,,,,,,,
S_R1-A(2;1;2),S_R1-A(2;1;2),x,S_R1-A(2;1;1),S_R3-D(1),S_R1-A(2;1;3),x,,,,,,,,
S_R1-A(2;1;3),S_R1-A(2;1;3),x,S_R1-A(2;1;2),S_RGoal,x,x,,,,,,,,
S_R1-A(3;1;1),S_R1-A(3;1;1),x,x,S_R3-D(1),S_R1-A(3;1;2),x,,,,,,,,
S_R1-A(3;1;2),S_R1-A(3;1;2),x,S_R1-A(3;1;1),S_RGoal,S_R1-A(3;1;3),x,,,,,,,,
S_R1-A(3;1;3),S_R1-A(3;1;3),x,S_R1-A(3;1;2),S_RGoal,x,x,,,,,,,,
S_R2-D(1),S_R2-D(1),x,S_B2-A(1;1;1),S_B2-A(2;1;1),S_B2-A(3;1;1),x,,,,,,,,
S_R2-D(2),S_R2-D(2),x,S_B2-A(1;2;1),S_B2-A(2;2;1),S_B2-A(3;2;1),x,,,,,,,,
S_R2-D(3),S_R2-D(3),x,S_B2-A(2;3;1),S_B2-A(2;3;1),S_B2-A(3;3;1),x,,,,,,,,
,,,,,,,,,,,,,,
S_R2-A(1;1;1),S_R2-A(1;1;1),x,x,S_B2-D(1),S_R2-A(1;1;2),S_R2-A(1;1;4),,,,,,,,
S_R2-A(1;1;2),S_R2-A(1;1;2),x,S_R2-A(1;1;1),S_B2-D(2),S_R2-A(1;1;3),S_R2-A(1;1;4),,,,,,,,
S_R2-A(1;1;3),S_R2-A(1;1;3),x,S_R2-A(1;1;2),S_B2-D(3),x,S_R2-A(1;1;5),,,,,,,,
S_R2-A(1;1;4),S_R2-A(1;1;4),S_R2-A(1;1;1),x,S_B1-D(1),S_R2-A(1;1;5),x,,,,,,,,
S_R2-A(1;1;5),S_R2-A(1;1;5),"S_R2-A(1,1,3)","S_R2-A(1,1,4)",S-B1-D(1),x,x,,,,,,,,
S_R2-A(2;1;1),S_R2-A(2;1;1),x,x,S_B2-D(1),S_R2-A(2;1;2),S_R2-A(2;1;4),,,,,,,,
S_R2-A(2;1;2),S_R2-A(2;1;2),x,S_R2-A(2;1;1),S_B2-D(2),S_R2-A(2;1;3),S_R2-A(2;1;4),,,,,,,,
S_R2-A(2;1;3),S_R2-A(2;1;3),x,S_R2-A(2;1;2),S_B2-D(3),x,S_R2-A(2;1;5),,,,,,,,
S_R2-A(2;1;4),S_R2-A(2;1;4),S_R2-A(2;1;1),x,S_B1-D(1),S_R2-A(2;1;5),x,,,,,,,,
S_R2-A(2;1;5),S_R2-A(2;1;5),S_R2-A(2;1;3),S_R2-A(2;1;4),S_R3_D(2),x,x,,,,,,,,
S_R2-A(3;1;1),S_R2-A(3;1;1),x,x,S_B2-D(1),S_R2-A(3;1;2),S_R2-A(3;1;4),,,,,,,,
S_R2-A(3;1;2),S_R2-A(3;1;2),x,S_R2-A(3;1;1),S_B2-D(2),S_R2-A(3;1;3),S_R2-A(3;1;4),,,,,,,,
S_R2-A(3;1;3),S_R2-A(3;1;3),x,S_R2-A(3;1;2),S_B2-D(3),x,S_R2-A(3;1;5),,,,,,,,
S_R2-A(3;1;4),S_R2-A(3;1;4),S_R2-A(3;1;1),x,S_R3_D(3),S_R2-A(3;1;5),x,,,,,,,,
S_R2-A(3;1;5),S_R2-A(3;1;5),S_R2-A(3;1;3),S_R2-A(3;1;4),S_B1-D(1),x,x,,,,,,,,
,,,,,,,,,,,,,,
S_R2-A(1;2;1),S_R2-A(1;2;1),x,x,S_B2-D(1),S_R2-A(1;2;2),S_R2-A(1;2;4),,,,,,,,
S_R2-A(1;2;2),S_R2-A(1;2;2),x,S_R2-A(1;2;1),S_B2-D(2),S_R2-A(1;2;3),S_R2-A(1;2;4),,,,,,,,
S_R2-A(1;2;3),S_R2-A(1;2;3),x,S_R2-A(1;2;2),S_B2-D(3),x,S_R2-A(1;2;5),,,,,,,,
S_R2-A(1;2;4),S_R2-A(1;2;4),S_R2-A(1;2;1),x,S_B1-D(1),S_R2-A(1;2;5),x,,,,,,,,
S_R2-A(1;2;5),S_R2-A(1;2;5),S_R2-A(1;2;3),S_R2-A(1;2;4),S_B1-D(1),x,x,,,,,,,,
S_R2-A(2;2;1),S_R2-A(2;2;1),x,x,S_B2-D(1),S_R2-A(2;2;2),S_R2-A(2;2;4),,,,,,,,
S_R2-A(2;2;2),S_R2-A(2;2;2),x,S_R2-A(2;2;1),S_B2-D(2),S_R2-A(2;2;3),S_R2-A(2;2;4),,,,,,,,
S_R2-A(2;2;3),S_R2-A(2;2;3),x,S_R2-A(2;2;2),S_B2-D(3),x,S_R2-A(2;2;5),,,,,,,,
S_R2-A(2;2;4),S_R2-A(2;2;4),S_R2-A(2;2;1),x,S_R2-D(2),S_R2-A(2;2;5),x,,,,,,,,
S_R2-A(2;2;5),S_R2-A(2;2;5),S_R2-A(2;2;3),S_R2-A(2;2;4),S_R2-D(2),x,x,,,,,,,,
S_R2-A(3;2;1),S_R2-A(3;2;1),x,x,S_B2-D(1),S_R2-A(3;2;2),S_R2-A(3;2;4),,,,,,,,
S_R2-A(3;2;2),S_R2-A(3;2;2),x,S_R2-A(3;2;1),S_B2-D(2),S_R2-A(3;2;3),S_R2-A(3;2;4),,,,,,,,
S_R2-A(3;2;3),S_R2-A(3;2;3),x,S_R2-A(3;2;2),S_B2-D(3),x,S_R2-A(3;2;5),,,,,,,,
S_R2-A(3;2;4),S_R2-A(3;2;4),S_R2-A(3;2;1),x,S_B1-D(1),S_R2-A(3;2;5),x,,,,,,,,
S_R2-A(3;2;5),S_R2-A(3;2;5),S_R2-A(3;2;3),S_R2-A(3;2;4),S_B1-D(1),x,x,,,,,,,,
,,,,,,,,,,,,,,
S_R2-A(1;3;1),S_R2-A(1;3;1),x,x,S_B2-D(1),S_R2-A(1;3;2),S_R2-A(1;3;4),,,,,,,,
S_R2-A(1;3;2),S_R2-A(1;3;2),x,S_R2-A(1;3;1),S_B2-D(2),S_R2-A(1;3;3),S_R2-A(1;3;4),,,,,,,,
S_R2-A(1;3;3),S_R2-A(1;3;3),x,S_R2-A(1;3;2),S_B2-D(3),x,S_R2-A(1;3;5),,,,,,,,
S_R2-A(1;3;4),S_R2-A(1;3;4),S_R2-A(1;3;1),x,S_B1-D(1),S_R2-A(1;3;5),x,,,,,,,,
S_R2-A(1;3;5),S_R2-A(1;3;5),S_R2-A(1;3;3),S_R2-A(1;3;4),S_R2-D(1),x,x,,,,,,,,
S_R2-A(2;3;1),S_R2-A(2;3;1),x,x,S_B2-D(1),S_R2-A(2;3;2),S_R2-A(2;3;4),,,,,,,,
S_R2-A(2;3;2),S_R2-A(2;3;2),x,S_R2-A(2;3;1),S_B2-D(2),S_R2-A(2;3;3),S_R2-A(2;3;4),,,,,,,,
S_R2-A(2;3;3),S_R2-A(2;3;3),x,S_R2-A(2;3;2),S_B2-D(3),x,S_R2-A(2;3;5),,,,,,,,
S_R2-A(2;3;4),S_R2-A(2;3;4),S_R2-A(2;3;1),x,S_R2-D(2),S_R2-A(2;3;5),x,,,,,,,,
S_R2-A(2;3;5),S_R2-A(2;3;5),S_R2-A(2;3;3),S_R2-A(2;3;4),S_B1-D(1),x,x,,,,,,,,
S_R2-A(3;3;1),S_R2-A(3;3;1),x,x,S_B2-D(1),S_R2-A(3;3;2),S_R2-A(3;3;4),,,,,,,,
S_R2-A(3;3;2),S_R2-A(3;3;2),x,S_R2-A(3;3;1),S_B2-D(2),S_R2-A(3;3;3),S_R2-A(3;3;4),,,,,,,,
S_R2-A(3;3;3),S_R2-A(3;3;3),x,S_R2-A(3;3;2),S_B2-D(3),x,S_R2-A(3;3;5),,,,,,,,
S_R2-A(3;3;4),S_R2-A(3;3;4),S_R2-A(3;3;1),x,S_B1-D(1),S_R2-A(3;3;5),x,,,,,,,,
S_R2-A(3;3;5),S_R2-A(3;3;5),S_R2-A(3;3;3),S_R2-A(3;3;4),S_B1-D(1),x,x,,,,,,,,
,,,,,,,,,,,,,,
S_R3-D(1),S_R3-D(1),x,S_B3-A(1;1;1),S_B3-A(2;1;1),S_B3-A(3;1;1),x,,,,,,,,
S_R3-A(1;1;1),S_R3-A(1;1;1),x,x,S_B2-D(1),S_R3-A(1;1;2),x,,,,,,,,
S_R3-A(1;1;2),S_R3-A(1;1;2),x,S_R3-A(1;1;1),S_B2-D(2),S_R3-A(1;1;3),x,,,,,,,,
S_R3-A(1;1;3),S_R3-A(1;1;3),x,S_R3-A(1;1;2),S_R1-D(1),x,x,,,,,,,,
S_R3-A(2;1;1),S_R3-A(2;1;1),x,x,S_B2-D(1),S_R3-A(2;1;2),x,,,,,,,,
S_R3-A(2;1;2),S_R3-A(2;1;2),x,S_R3-A(2;1;1),S_R1-D(1),S_R3-A(2;1;3),x,,,,,,,,
S_R3-A(2;1;3),S_R3-A(2;1;3),x,S_R3-A(2;1;2),S_B2-D(3),x,x,,,,,,,,
S_R3-A(3;1;1),S_R3-A(3;1;1),x,x,S_R1-D(1),S_R3-A(3;1;2),x,,,,,,,,
S_R3-A(3;1;2),S_R3-A(3;1;2),x,S_R3-A(3;1;1),S_B2-D(2),S_R3-A(3;1;3),x,,,,,,,,
S_R3-A(3;1;3),S_R3-A(3;1;3),x,S_R3-A(3;1;2),S_B2-D(3),x,x,,,,,,,,
S_RGoal,S_RGoal,S_RGoal,S_RGoal,S_R2-D2(2),S_RGoal,S_RGoal,,,,,,,,
S_BGoal,S_BGoal,S_BGoal,S_BGoal,S_B2-D2(2),S_BGoal,S_BGoal,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,
